62 - REPARTO POLIZIA STRADALE ORDINARIA A.C.A.;62; REPARTO POLIZIA STRADALE ORDINARIA A.C.A.
63 - REPARTO FIAMME ORO;63; REPARTO FIAMME ORO
64 - CINOFILI;64; CINOFILI
65 - GIUDIZIALE CUSTODIA DISPOSTA DA A.G.;65; GIUDIZIALE CUSTODIA DISPOSTA DA A.G.
66 - REPARTI A CAVALLO;66; REPARTI A CAVALLO
67 - TIRATORI SCELTI;67; TIRATORI SCELTI
68 - SERVIZI DI COMPETENZA;68; SERVIZI DI COMPETENZA
69 - SERVIZIO POLIZIA FERROVIARIA;69; SERVIZIO POLIZIA FERROVIARIA
70 - SERVIZIO SCUOLE DI POLIZIA;70; SERVIZIO SCUOLE DI POLIZIA
71 - ATTIVITA' ORDINARIE;71; ATTIVITA' ORDINARIE
72 - TRASPORTO PERSONE;72; TRASPORTO PERSONE
73 - SERVIZI DEDICATI/ SPECIFICI;73; SERVIZI DEDICATI/ SPECIFICI
74 - CESSIONE TEMPORANEA;74; CESSIONE TEMPORANEA
75 - CESSIONE STATI ESTERI;75; CESSIONE STATI ESTERI
76 - SOCCORSO PUBBLICO;76; SOCCORSO PUBBLICO
77 - SERVIZIO NBCR;77; SERVIZIO NBCR
78 - SERVIZIO DI TUTELA E PROTEZIONE;78; SERVIZIO DI TUTELA E PROTEZIONE
